"Country","CaseCount","MonitorDate"
"United States","216290","1/10/2021 12:00:00 AM"
"United States","213173","1/11/2021 12:00:00 AM"
"United States","216647","1/12/2021 12:00:00 AM"
"United States","229610","1/13/2021 12:00:00 AM"
"United States","235561","1/14/2021 12:00:00 AM"
"United States","241576","1/15/2021 12:00:00 AM"
"United States","202758","1/16/2021 12:00:00 AM"
"United States","177918","1/17/2021 12:00:00 AM"
"United States","141999","1/18/2021 12:00:00 AM"
"United States","177256","1/19/2021 12:00:00 AM"
"United States","182695","1/20/2021 12:00:00 AM"
"United States","188952","1/21/2021 12:00:00 AM"
"United States","189925","1/22/2021 12:00:00 AM"
"United States","172650","1/23/2021 12:00:00 AM"
"United States","132537","1/24/2021 12:00:00 AM"
"United States","151112","1/25/2021 12:00:00 AM"
"United States","146640","1/26/2021 12:00:00 AM"
"United States","152478","1/27/2021 12:00:00 AM"
"United States","168620","1/28/2021 12:00:00 AM"
"United States","166113","1/29/2021 12:00:00 AM"
"United States","142091","1/30/2021 12:00:00 AM"
"United States","111896","1/31/2021 12:00:00 AM"
"United States","134339","2/1/2021 12:00:00 AM"
"United States","114437","2/2/2021 12:00:00 AM"
"United States","121469","2/3/2021 12:00:00 AM"
"United States","123188","2/4/2021 12:00:00 AM"
"United States","133558","2/5/2021 12:00:00 AM"
"United States","104015","2/6/2021 12:00:00 AM"
"United States","89581","2/7/2021 12:00:00 AM"
"United States","89727","2/8/2021 12:00:00 AM"
"United States","95360","2/9/2021 12:00:00 AM"
"United States","174485","2/10/2021 12:00:00 AM"
"United States","105353","2/11/2021 12:00:00 AM"
"United States","99511","2/12/2021 12:00:00 AM"
"United States","83321","2/13/2021 12:00:00 AM"
"United States","64938","2/14/2021 12:00:00 AM"
"United States","53883","2/15/2021 12:00:00 AM"
"United States","62398","2/16/2021 12:00:00 AM"
"United States","70188","2/17/2021 12:00:00 AM"
"United States","69255","2/18/2021 12:00:00 AM"
"United States","110070","2/19/2021 12:00:00 AM"
"United States","71510","2/20/2021 12:00:00 AM"
"United States","56495","2/21/2021 12:00:00 AM"
"United States","56044","2/22/2021 12:00:00 AM"
"United States","71436","2/23/2021 12:00:00 AM"
"United States","74502","2/24/2021 12:00:00 AM"
"United States","77291","2/25/2021 12:00:00 AM"
"United States","73006","2/26/2021 12:00:00 AM"
"United States","68071","2/27/2021 12:00:00 AM"
"United States","51204","2/28/2021 12:00:00 AM"
"United States","58810","3/1/2021 12:00:00 AM"
"United States","56758","3/2/2021 12:00:00 AM"
"United States","65909","3/3/2021 12:00:00 AM"
"United States","67164","3/4/2021 12:00:00 AM"
"United States","67397","3/5/2021 12:00:00 AM"
"United States","58062","3/6/2021 12:00:00 AM"
"United States","40340","3/7/2021 12:00:00 AM"
"United States","44758","3/8/2021 12:00:00 AM"
"United States","57417","3/9/2021 12:00:00 AM"
"United States","58915","3/10/2021 12:00:00 AM"
"United States","62404","3/11/2021 12:00:00 AM"
"United States","61204","3/12/2021 12:00:00 AM"
"United States","53215","3/13/2021 12:00:00 AM"
"United States","38222","3/14/2021 12:00:00 AM"
"United States","56649","3/15/2021 12:00:00 AM"
"United States","53579","3/16/2021 12:00:00 AM"
"United States","58480","3/17/2021 12:00:00 AM"
"United States","60381","3/18/2021 12:00:00 AM"
"United States","61413","3/19/2021 12:00:00 AM"
"United States","55285","3/20/2021 12:00:00 AM"
"United States","33645","3/21/2021 12:00:00 AM"
"United States","50584","3/22/2021 12:00:00 AM"
"United States","52878","3/23/2021 12:00:00 AM"
"United States","86947","3/24/2021 12:00:00 AM"
"United States","67443","3/25/2021 12:00:00 AM"
"United States","77339","3/26/2021 12:00:00 AM"
"United States","62062","3/27/2021 12:00:00 AM"
"United States","43694","3/28/2021 12:00:00 AM"
"United States","69417","3/29/2021 12:00:00 AM"
"United States","61240","3/30/2021 12:00:00 AM"
"United States","67029","3/31/2021 12:00:00 AM"
"United States","79034","4/1/2021 12:00:00 AM"
"United States","69822","4/2/2021 12:00:00 AM"
"United States","62154","4/3/2021 12:00:00 AM"
"United States","34282","4/4/2021 12:00:00 AM"
"United States","77794","4/5/2021 12:00:00 AM"
"United States","61958","4/6/2021 12:00:00 AM"
"United States","75038","4/7/2021 12:00:00 AM"
