CountryCode,location,FirstDate,MissingDate,LastDate
ATG,Antigua and Barbuda,3/15/2020,3/16/2020,6/19/2020
ATG,Antigua and Barbuda,3/15/2020,3/17/2020,6/19/2020
ATG,Antigua and Barbuda,3/15/2020,3/18/2020,6/19/2020
ATG,Antigua and Barbuda,3/15/2020,3/19/2020,6/19/2020
ATG,Antigua and Barbuda,3/15/2020,3/20/2020,6/19/2020
FIN,Finland,12/31/2019,3/3/2020,6/19/2020
FIN,Finland,12/31/2019,3/5/2020,6/19/2020
FIN,Finland,12/31/2019,3/8/2020,6/19/2020
FIN,Finland,12/31/2019,3/11/2020,6/19/2020
BHR,Bahrain,12/31/2019,3/3/2020,6/19/2020
BHS,"Bahamas, The",3/16/2020,3/18/2020,6/19/2020
BHS,"Bahamas, The",3/16/2020,3/19/2020,6/19/2020
PSE,West Bank and Gaza,3/6/2020,3/9/2020,6/19/2020
PSE,West Bank and Gaza,3/6/2020,3/13/2020,6/19/2020
PSE,West Bank and Gaza,3/6/2020,4/5/2020,6/19/2020
AND,Andorra,3/3/2020,3/4/2020,6/19/2020
AND,Andorra,3/3/2020,3/5/2020,6/19/2020
AND,Andorra,3/3/2020,3/6/2020,6/19/2020
AND,Andorra,3/3/2020,3/7/2020,6/19/2020
AND,Andorra,3/3/2020,3/8/2020,6/19/2020
AND,Andorra,3/3/2020,3/9/2020,6/19/2020
AND,Andorra,3/3/2020,3/10/2020,6/19/2020
AND,Andorra,3/3/2020,3/11/2020,6/19/2020
AND,Andorra,3/3/2020,3/12/2020,6/19/2020
AND,Andorra,3/3/2020,3/13/2020,6/19/2020
AND,Andorra,3/3/2020,3/15/2020,6/19/2020
VNM,Vietnam,12/31/2019,3/3/2020,6/19/2020
VNM,Vietnam,12/31/2019,3/4/2020,6/19/2020
VNM,Vietnam,12/31/2019,3/5/2020,6/19/2020
VNM,Vietnam,12/31/2019,3/6/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/3/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/8/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/9/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/10/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/11/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/12/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/13/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/16/2020,6/19/2020
NZL,New Zealand,12/31/2019,3/17/2020,6/19/2020
MCO,Monaco,12/31/2019,3/3/2020,6/19/2020
MCO,Monaco,12/31/2019,3/4/2020,6/19/2020
MCO,Monaco,12/31/2019,3/5/2020,6/19/2020
MCO,Monaco,12/31/2019,3/6/2020,6/19/2020
MCO,Monaco,12/31/2019,3/7/2020,6/19/2020
MCO,Monaco,12/31/2019,3/8/2020,6/19/2020
MCO,Monaco,12/31/2019,3/9/2020,6/19/2020
MCO,Monaco,12/31/2019,3/10/2020,6/19/2020
MCO,Monaco,12/31/2019,3/11/2020,6/19/2020
MCO,Monaco,12/31/2019,3/12/2020,6/19/2020
MCO,Monaco,12/31/2019,3/13/2020,6/19/2020
MCO,Monaco,12/31/2019,3/14/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/3/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/4/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/5/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/8/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/9/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/10/2020,6/19/2020
AZE,Azerbaijan,12/31/2019,3/14/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/8/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/10/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/11/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/12/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/13/2020,6/19/2020
CMR,Cameroon,3/7/2020,3/14/2020,6/19/2020
JOR,Jordan,3/3/2020,3/4/2020,6/19/2020
JOR,Jordan,3/3/2020,3/5/2020,6/19/2020
JOR,Jordan,3/3/2020,3/6/2020,6/19/2020
JOR,Jordan,3/3/2020,3/7/2020,6/19/2020
JOR,Jordan,3/3/2020,3/9/2020,6/19/2020
JOR,Jordan,3/3/2020,3/10/2020,6/19/2020
JOR,Jordan,3/3/2020,3/11/2020,6/19/2020
JOR,Jordan,3/3/2020,3/12/2020,6/19/2020
JOR,Jordan,3/3/2020,3/13/2020,6/19/2020
JOR,Jordan,3/3/2020,3/14/2020,6/19/2020
BLR,Belarus,12/31/2019,3/3/2020,6/19/2020
BLR,Belarus,12/31/2019,3/6/2020,6/19/2020
BLR,Belarus,12/31/2019,3/7/2020,6/19/2020
BLR,Belarus,12/31/2019,3/8/2020,6/19/2020
BLR,Belarus,12/31/2019,3/9/2020,6/19/2020
BLR,Belarus,12/31/2019,3/10/2020,6/19/2020
