"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"AFG","Asia","Afghanistan","2021-11-10","156414.0","17.0","13.0","7291.0","1.0","1.0","3926.505","0.427","0.326","183.028","0.025","0.025","","","","","","","","","","","39835428.0","54.422","18.6","2.581","1.337","1803.987","","597.029","9.59","","","37.746","","64.83"
"AFG","Asia","Afghanistan","2021-11-11","156456.0","42.0","13.286","7292.0","1.0","1.143","3927.559","1.054","0.334","183.053","0.025","0.029","","","","","","","","","","","39835428.0","54.422","18.6","2.581","1.337","1803.987","","597.029","9.59","","","37.746","","64.83"
"AFG","Asia","Afghanistan","2021-11-12","156487.0","31.0","13.571","7292.0","0.0","1.143","3928.337","0.778","0.341","183.053","0.0","0.029","","","","","","","","","","","39835428.0","54.422","18.6","2.581","1.337","1803.987","","597.029","9.59","","","37.746","","64.83"
"ALB","Europe","Albania","2021-11-10","190815.0","690.0","574.571","2975.0","5.0","5.0","66418.163","240.173","199.995","1035.527","1.74","1.74","","","","","","","","","","","2872934.0","104.871","38.0","13.188","8.643","11803.431","1.1","304.195","10.08","7.1","51.2","","","78.57"
"ALB","Europe","Albania","2021-11-11","191440.0","625.0","582.429","2978.0","3.0","4.857","66635.711","217.548","202.73","1036.571","1.044","1.691","","","","","","","","","","","2872934.0","104.871","38.0","13.188","8.643","11803.431","1.1","304.195","10.08","7.1","51.2","","","78.57"
"ALB","Europe","Albania","2021-11-12","192013.0","573.0","574.143","2983.0","5.0","5.0","66835.159","199.448","199.845","1038.311","1.74","1.74","","","","","","","","","","","2872934.0","104.871","38.0","13.188","8.643","11803.431","1.1","304.195","10.08","7.1","51.2","","","78.57"
"DZA","Africa","Algeria","2021-11-10","207509.0","124.0","107.857","5960.0","6.0","4.143","4650.934","2.779","2.417","133.582","0.134","0.093","","","","","","","","","","","44616626.0","17.348","29.1","6.211","3.857","13913.839","0.5","278.364","6.73","0.7","30.4","83.741","","76.88"
"DZA","Africa","Algeria","2021-11-11","207624.0","115.0","106.571","5966.0","6.0","4.286","4653.512","2.578","2.389","133.717","0.134","0.096","","","","","","","","","","","44616626.0","17.348","29.1","6.211","3.857","13913.839","0.5","278.364","6.73","0.7","30.4","83.741","","76.88"
"DZA","Africa","Algeria","2021-11-12","207764.0","140.0","109.857","5971.0","5.0","4.571","4656.65","3.138","2.462","133.829","0.112","0.102","","","","","","","","","","","44616626.0","17.348","29.1","6.211","3.857","13913.839","0.5","278.364","6.73","0.7","30.4","83.741","","76.88"
"AND","Europe","Andorra","2021-11-10","15744.0","27.0","24.571","130.0","0.0","0.0","203531.815","349.045","317.649","1680.585","0.0","0.0","","","","","","","","","","46.3","77354.0","163.755","","","","","","109.135","7.97","29.0","37.8","","","83.73"
"AND","Europe","Andorra","2021-11-11","15744.0","0.0","18.0","130.0","0.0","0.0","203531.815","0.0","232.696","1680.585","0.0","0.0","","","","","","","","","","46.3","77354.0","163.755","","","","","","109.135","7.97","29.0","37.8","","","83.73"
"AND","Europe","Andorra","2021-11-12","15819.0","75.0","28.714","130.0","0.0","0.0","204501.383","969.568","371.206","1680.585","0.0","0.0","","","","","","","","","","","77354.0","163.755","","","","","","109.135","7.97","29.0","37.8","","","83.73"
"AGO","Africa","Angola","2021-11-10","64815.0","53.0","40.286","1723.0","0.0","1.0","1910.053","1.562","1.187","50.776","0.0","0.029","","","","","","","","","","","33933611.0","23.89","16.8","2.405","1.362","5819.495","","276.045","3.94","","","26.664","","61.15"
"AGO","Africa","Angola","2021-11-11","64857.0","42.0","39.143","1725.0","2.0","1.0","1911.291","1.238","1.154","50.835","0.059","0.029","","","","","","","","","","","33933611.0","23.89","16.8","2.405","1.362","5819.495","","276.045","3.94","","","26.664","","61.15"
"AGO","Africa","Angola","2021-11-12","64875.0","18.0","37.571","1726.0","1.0","1.0","1911.821","0.53","1.107","50.864","0.029","0.029","","","","","","","","","","","33933611.0","23.89","16.8","2.405","1.362","5819.495","","276.045","3.94","","","26.664","","61.15"
"ATG","North America","Antigua and Barbuda","2021-11-10","4102.0","11.0","4.714","105.0","0.0","0.429","41548.497","111.417","47.75","1063.528","0.0","4.341","","","","","","","","","","","98728.0","231.845","32.1","6.933","4.631","21490.943","","191.511","13.17","","","","","77.02"
"ATG","North America","Antigua and Barbuda","2021-11-11","4102.0","0.0","4.286","105.0","0.0","0.143","41548.497","0.0","43.409","1063.528","0.0","1.447","","","","","","","","","","","98728.0","231.845","32.1","6.933","4.631","21490.943","","191.511","13.17","","","","","77.02"
"ATG","North America","Antigua and Barbuda","2021-11-12","4106.0","4.0","4.0","106.0","1.0","0.286","41589.012","40.515","40.515","1073.657","10.129","2.894","","","","","","","","","","","98728.0","231.845","32.1","6.933","4.631","21490.943","","191.511","13.17","","","","","77.02"
"ARG","South America","Argentina","2021-11-10","5300985.0","1567.0","1205.143","116184.0","19.0","22.143","116234.828","34.36","26.425","2547.569","0.417","0.486","","","","","","","","","","","45605823.0","16.177","31.9","11.198","7.441","18933.907","0.6","191.032","5.5","16.2","27.7","","","76.67"
"ARG","South America","Argentina","2021-11-11","5302445.0","1460.0","1208.0","116209.0","25.0","22.0","116266.842","32.013","26.488","2548.118","0.548","0.482","","","","","","","","","","","45605823.0","16.177","31.9","11.198","7.441","18933.907","0.6","191.032","5.5","16.2","27.7","","","76.67"
"ARG","South America","Argentina","2021-11-12","5304059.0","1614.0","1257.0","116222.0","13.0","19.857","116302.232","35.39","27.562","2548.403","0.285","0.435","","","","","","","","","","","45605823.0","16.177","31.9","11.198","7.441","18933.907","0.6","191.032","5.5","16.2","27.7","","","76.67"
