"MonitorDate","Country","CaseCount","DeathCount","PeriodToDateCaseCount","PeriodToDateDeathCount","Population","CountryCode","Source"
"4/14/2021 12:00:00 AM","Afghanistan","128","3","57492","2532","37172386","AFG","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Albania","207","5","128959","2331","2866376","ALB","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Algeria","176","4","118975","3141","42228429","DZA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Andorra","27","0","12641","121","77006","AND","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Angola","144","3","23841","557","30809762","AGO","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Antigua and Barbuda","0","0","1201","31","96286","ATG","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Argentina","25157","368","2604157","58542","44494502","ARG","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Armenia","1075","19","205128","3794","2951776","ARM","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Australia","19","0","29469","910","24992369","AUS","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Austria","2942","31","584205","9779","8847037","AUT","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Azerbaijan","2293","31","291894","4009","9942334","AZE","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Bahamas, The","0","0","9505","190","385640","BHS","Covid19DataVault"
"4/14/2021 12:00:00 AM","Bahrain","1175","3","159964","569","1569439","BHR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Bangladesh","5185","96","703170","9987","161356039","BGD","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Barbados","4","0","3744","44","286641","BRB","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Belarus","1166","10","338801","2383","9485386","BLR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Belgium","4713","37","935316","23603","11422068","BEL","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Belize","9","0","12522","318","383071","BLZ","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Benin","96","2","7611","95","11485048","BEN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Bhutan","2","0","929","1","754394","BTN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Bolivia","1108","23","285291","12519","11353142","BOL","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Bosnia and Herzegovina","1674","155","186372","7642","3323929","BIH","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Botswana","0","0","43444","663","2254126","BWA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Brazil","73513","3459","13673507","361884","209469333","BRA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Brunei Darussalam","0","0","219","3","428962","BRN","Covid19DataVault"
"4/14/2021 12:00:00 AM","Bulgaria","2517","125","380576","14871","7024216","BGR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Burkina Faso","61","1","13050","154","19751535","BFA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Burundi","71","0","3333","6","11175378","BDI","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Cambodia","178","2","4874","35","16249798","KHM","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Cameroon","0","0","61731","919","25216237","CMR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Canada","8994","58","1094899","23428","37058856","CAN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Cabo Verde","294","1","19525","188","543767","CPV","Covid19DataVault"
"4/14/2021 12:00:00 AM","Central African Republic","0","0","5682","75","4666377","CAF","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Chad","10","0","4662","167","15477751","TCD","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Chile","5557","30","1094267","24548","18729160","CHL","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","China","15","1","102118","4845","1392730000","CHN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Colombia","16487","337","2585801","66819","49648685","COL","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Congo, Dem. Rep.","49","0","28714","745","84068091","COD","Covid19DataVault"
"4/14/2021 12:00:00 AM","Congo, Rep.","0","2","10084","139","5244363","COG","Covid19DataVault"
"4/14/2021 12:00:00 AM","Costa Rica","0","0","225343","3044","4999441","CRI","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
