"collection_date","location","iso_code","total_vaccinations","total_vaccinations_per_hundred","daily_vaccinations_raw","daily_vaccinations","daily_vaccinations_per_million","people_vaccinated","people_fully_vaccinated","people_fully_vaccinated_per_hundred","source"
"2022-05-24 00:00:00.0000000","Curacao","CUW","252703","153.340","","65","394.000","108096","99251","60.230","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Bulgaria","BGR","4395803","63.740","35","420","61.000","","2058690","29.850","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Aruba","ABW","171017","159.540","38","29","271.000","88744","82273","76.750","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Bangladesh","BGD","260633799","156.720","","178255","1072.000","128961472","117358871","70.570","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Czechia","CZE","17621849","164.310","1406","1859","173.000","6961540","6873274","64.090","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Estonia","EST","1988667","150.070","249","222","168.000","861837","846323","63.860","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Australia","AUS","","","","","","22311183","21598349","83.750","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Canada","CAN","85210622","223.840","12925","46370","1218.000","32969448","31371856","82.410","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Hungary","HUN","","","","","","6409451","6195684","64.310","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Greece","GRC","20996111","202.460","5127","3770","364.000","7914553","7623600","73.510","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Chile","CHL","55581908","289.300","122132","131630","6851.000","17950247","17508738","91.130","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","India","IND","1924562314","138.120","1483164","1475781","1059.000","1009889844","882839026","63.360","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Kazakhstan","KAZ","","","","","","9499204","9272513","48.820","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Kyrgyzstan","KGZ","3085684","46.550","4257","3453","521.000","1550449","1297480","19.570","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","China","CHN","3373460000","233.580","1217000","1210429","838.000","","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Indonesia","IDN","401308016","145.210","0","0","0.000","199955070","166971873","60.420","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Lithuania","LTU","4483945","166.700","230","195","72.000","1951537","1875605","69.730","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Laos","LAO","10829435","146.750","","5528","749.000","5800702","5028733","68.150","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2022-05-24 00:00:00.0000000","Georgia","GEO","2891402","72.650","","309","78.000","1624576","1266826","31.830","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
