"collection_date","location","iso_code","total_vaccinations","total_vaccinations_per_hundred","daily_vaccinations_raw","daily_vaccinations","daily_vaccinations_per_million","people_vaccinated","people_fully_vaccinated","people_fully_vaccinated_per_hundred","source"
"2021-04-16 00:00:00.0000000","Argentina","ARG","6093016","13.480","157870","162428","3594.000","5305604","787412","1.740","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Australia","AUS","1420577","5.570","60912","49009","1922.000","","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Azerbaijan","AZE","1299323","12.810","27532","26800","2643.000","859338","439985","4.340","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Bahrain","BHR","1042463","61.260","14140","17606","10347.000","586279","456184","26.810","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Belgium","BEL","2901635","25.040","53728","58751","5069.000","2204943","696692","6.010","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Belize","BLZ","34262","8.620","1082","987","2482.000","34262","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Bhutan","BTN","478219","61.980","588","689","893.000","478219","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Bolivia","BOL","530496","4.540","23085","15236","1305.000","365333","165163","1.410","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Bulgaria","BGR","634129","9.130","13754","9533","1372.000","507245","126884","1.830","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Cambodia","KHM","1541896","9.220","33083","52552","3143.000","1241947","299949","1.790","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Canada","CAN","9525732","25.240","320425","279487","7405.000","8641720","884012","2.340","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Cayman Islands","CYM","61114","92.990","477","700","10651.000","33808","27306","41.550","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","China","CHN","187360000","13.020","3824000","3748429","2604.000","","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Cote d'Ivoire","CIV","91901","0.350","4634","4440","168.000","91901","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Cyprus","CYP","202441","23.110","","2745","3134.000","145357","57084","6.520","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Czechia","CZE","2422985","22.630","64643","52996","4949.000","1575629","847356","7.910","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","El Salvador","SLV","","","","","","460565","15456","0.240","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Equatorial Guinea","GNQ","32884","2.340","","1254","894.000","27579","5305","0.380","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Estonia","EST","358671","27.040","","5464","4119.000","277745","80926","6.100","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Finland","FIN","1384090","24.980","43389","31967","5769.000","1267678","116412","2.100","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Georgia","GEO","26427","0.660","1510","1309","328.000","26427","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Germany","DEU","21332342","25.460","559967","513307","6127.000","15906352","5425990","6.480","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Gibraltar","GIB","66232","196.590","","459","13624.000","35830","30402","90.240","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Greece","GRC","2440210","23.410","53062","46570","4468.000","1671324","768886","7.380","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Greenland","GRL","10567","18.610","335","145","2554.000","6270","4297","7.570","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
