"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"AFG","Asia","Afghanistan","2021-04-19","57898.0","105.0","93.714","2546.0","7.0","2.429","1487.297","2.697","2.407","65.402","0.18","0.062","","","","","","","","","","","38928341.0","54.422","18.6","2.581","1.337","1803.987","","597.029","9.59","","","37.746","","64.83"
"AFG","Asia","Afghanistan","2021-04-20","58037.0","139.0","96.143","2549.0","3.0","2.857","1490.868","3.571","2.47","65.479","0.077","0.073","","","","","","","","","","","38928341.0","54.422","18.6","2.581","1.337","1803.987","","597.029","9.59","","","37.746","","64.83"
"AFG","Asia","Afghanistan","2021-04-21","58214.0","177.0","103.143","2557.0","8.0","3.571","1495.414","4.547","2.65","65.685","0.206","0.092","","","","","","","","","","","38928341.0","54.422","18.6","2.581","1.337","1803.987","","597.029","9.59","","","37.746","","64.83"
"OWID_AFR","","Africa","2021-04-19","4440393.0","8753.0","11429.429","118197.0","299.0","317.571","3312.248","6.529","8.526","88.167","0.223","0.237","","","","","","","","","","","1340598113.0","","","","","","","","","","","","",""
"OWID_AFR","","Africa","2021-04-20","4450504.0","10111.0","11458.143","118608.0","411.0","318.571","3319.79","7.542","8.547","88.474","0.307","0.238","","","","","","","","","","","1340598113.0","","","","","","","","","","","","",""
"OWID_AFR","","Africa","2021-04-21","4462371.0","11867.0","11164.857","118919.0","311.0","310.429","3328.642","8.852","8.328","88.706","0.232","0.232","","","","","","","","","","","1340598113.0","","","","","","","","","","","","",""
"ALB","Europe","Albania","2021-04-19","129694.0","100.0","168.0","2347.0","5.0","3.714","45067.065","34.749","58.378","815.554","1.737","1.291","","","","","","","","","","54.63","2877800.0","104.871","38.0","13.188","8.643","11803.431","1.1","304.195","10.08","7.1","51.2","","","78.57"
"ALB","Europe","Albania","2021-04-20","129842.0","148.0","155.714","2353.0","6.0","3.857","45118.493","51.428","54.109","817.638","2.085","1.34","","","","","","","","","","","2877800.0","104.871","38.0","13.188","8.643","11803.431","1.1","304.195","10.08","7.1","51.2","","","78.57"
"ALB","Europe","Albania","2021-04-21","129980.0","138.0","145.857","2358.0","5.0","3.857","45166.447","47.953","50.684","819.376","1.737","1.34","","","","","","","","","","","2877800.0","104.871","38.0","13.188","8.643","11803.431","1.1","304.195","10.08","7.1","51.2","","","78.57"
"DZA","Africa","Algeria","2021-04-19","119805.0","163.0","165.714","3160.0","5.0","3.714","2732.09","3.717","3.779","72.062","0.114","0.085","","","","","","","","","","","43851043.0","17.348","29.1","6.211","3.857","13913.839","0.5","278.364","6.73","0.7","30.4","83.741","","76.88"
"DZA","Africa","Algeria","2021-04-20","119992.0","187.0","170.429","3165.0","5.0","4.0","2736.355","4.264","3.887","72.176","0.114","0.091","","","","","","","","","","","43851043.0","17.348","29.1","6.211","3.857","13913.839","0.5","278.364","6.73","0.7","30.4","83.741","","76.88"
"DZA","Africa","Algeria","2021-04-21","120174.0","182.0","171.286","3172.0","7.0","4.429","2740.505","4.15","3.906","72.336","0.16","0.101","","","","","","","","","","","43851043.0","17.348","29.1","6.211","3.857","13913.839","0.5","278.364","6.73","0.7","30.4","83.741","","76.88"
"AND","Europe","Andorra","2021-04-19","12805.0","0.0","32.0","123.0","0.0","0.286","165728.338","0.0","414.159","1591.924","0.0","3.698","","","","","","","","","","52.78","77265.0","163.755","","","","","","109.135","7.97","29.0","37.8","","","83.73"
"AND","Europe","Andorra","2021-04-20","12874.0","69.0","37.143","123.0","0.0","0.286","166621.368","893.03","480.72","1591.924","0.0","3.698","","","","","","","","","","","77265.0","163.755","","","","","","109.135","7.97","29.0","37.8","","","83.73"
"AND","Europe","Andorra","2021-04-21","12917.0","43.0","39.429","123.0","0.0","0.286","167177.894","556.526","510.303","1591.924","0.0","3.698","","","","","","","","","","","77265.0","163.755","","","","","","109.135","7.97","29.0","37.8","","","83.73"
"AGO","Africa","Angola","2021-04-19","24518.0","129.0","138.429","563.0","2.0","1.286","745.993","3.925","4.212","17.13","0.061","0.039","","","","","","","","","","","32866268.0","23.89","16.8","2.405","1.362","5819.495","","276.045","3.94","","","26.664","","61.15"
"AGO","Africa","Angola","2021-04-20","24661.0","143.0","137.714","565.0","2.0","1.571","750.344","4.351","4.19","17.191","0.061","0.048","","","","","","","","","","","32866268.0","23.89","16.8","2.405","1.362","5819.495","","276.045","3.94","","","26.664","","61.15"
"AGO","Africa","Angola","2021-04-21","24883.0","222.0","148.857","570.0","5.0","1.857","757.098","6.755","4.529","17.343","0.152","0.057","","","","","","","","","","","32866268.0","23.89","16.8","2.405","1.362","5819.495","","276.045","3.94","","","26.664","","61.15"
"ATG","North America","Antigua and Barbuda","2021-04-20","1217.0","0.0","2.286","31.0","0.0","0.0","12427.498","0.0","23.341","316.559","0.0","0.0","","","","","","","","","","","97928.0","231.845","32.1","6.933","4.631","21490.943","","191.511","13.17","","","","","77.02"
"ATG","North America","Antigua and Barbuda","2021-04-21","1217.0","0.0","2.286","31.0","0.0","0.0","12427.498","0.0","23.341","316.559","0.0","0.0","","","","","","","","","","","97928.0","231.845","32.1","6.933","4.631","21490.943","","191.511","13.17","","","","","77.02"
"ATG","North America","Antigua and Barbuda","2021-04-19","1217.0","1.0","2.714","31.0","0.0","0.143","12427.498","10.212","27.717","316.559","0.0","1.459","","","","","","","","","","","97928.0","231.845","32.1","6.933","4.631","21490.943","","191.511","13.17","","","","","77.02"
"ARG","South America","Argentina","2021-04-19","2714475.0","20461.0","23210.857","59476.0","248.0","217.0","60060.368","452.719","513.563","1315.964","5.487","4.801","","","","","","","","","","","45195777.0","16.177","31.9","11.198","7.441","18933.907","0.6","191.032","5.5","16.2","27.7","","","76.67"
"ARG","South America","Argentina","2021-04-20","2743620.0","29145.0","23517.143","59792.0","316.0","231.143","60705.229","644.861","520.339","1322.955","6.992","5.114","","","","","","","","","","","45195777.0","16.177","31.9","11.198","7.441","18933.907","0.6","191.032","5.5","16.2","27.7","","","76.67"
