"monitor_date","county_name","state_name","region","subregion","fips","latitude","longitude","case_count_to_date","death_count_to_date","case_count","death_count","previous_monitor_date","population_year","population","source"
"5/1/2021 12:00:00 AM","San Juan County","Colorado","West","Mountain","08111","37.781049","-107.670257 ","50","0","2","0","4/30/2021 12:00:00 AM","2019","728","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Idaho County","Idaho","West","Mountain","16049","45.849644","-115.467337 ","1215","18","0","0","4/30/2021 12:00:00 AM","2019","16667","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Sumter County","Georgia","South","South Atlantic","13261","32.042266","-84.204294 ","2546","101","2","0","4/30/2021 12:00:00 AM","2019","29524","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Cleburne County","Arkansas","South","West South Central","05023","35.566315","-92.05995 ","1973","74","1","0","4/30/2021 12:00:00 AM","2019","24919","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Orangeburg County","South Carolina","South","South Atlantic","45075","33.436135","-80.802913 ","9664","244","9","0","4/30/2021 12:00:00 AM","2019","86175","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Tulare County","California","West","Pacific","06107","36.228834","-118.781055 ","49585","836","0","2","4/30/2021 12:00:00 AM","2019","466195","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Barron County","Wisconsin","Midwest","East North Central","55005","45.437192","-91.852892 ","5880","83","14","2","4/30/2021 12:00:00 AM","2019","45244","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Clallam County","Washington","West","Pacific","53009","48.110903","-123.88986 ","1211","8","3","0","4/30/2021 12:00:00 AM","2019","77331","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Union County","Florida","South","South Atlantic","12125","30.05428","-82.366918 ","1817","72","2","0","4/30/2021 12:00:00 AM","2019","15237","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Union County","New Jersey","Northeast","Middle Atlantic","34039","40.659871","-74.308696 ","70328","1931","89","2","4/30/2021 12:00:00 AM","2019","556341","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Bedford County","Virginia","South","South Atlantic","51019","37.312257","-79.527223 ","6265","99","7","0","4/30/2021 12:00:00 AM","2019","78997","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Chase County","Kansas","Midwest","West North Central","20017","38.299475","-96.594029 ","259","3","0","0","4/30/2021 12:00:00 AM","2019","2648","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Monmouth County","New Jersey","Northeast","Middle Atlantic","34025","40.287048","-74.152446 ","74367","1577","81","0","4/30/2021 12:00:00 AM","2019","618795","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Hocking County","Ohio","Midwest","East North Central","39073","39.490342","-82.483447 ","2141","61","3","0","4/30/2021 12:00:00 AM","2019","28264","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Rolette County","North Dakota","Midwest","West North Central","38079","48.768271","-99.840463 ","2141","28","0","0","4/30/2021 12:00:00 AM","2019","14176","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Perry County","Indiana","Midwest","East North Central","18123","38.081436","-86.62654 ","1833","38","1","0","4/30/2021 12:00:00 AM","2019","19169","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Moultrie County","Illinois","Midwest","East North Central","17139","39.636896","-88.625726 ","1595","34","4","0","4/30/2021 12:00:00 AM","2019","14501","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Green County","Kentucky","South","East South Central","21087","37.278065","-85.537925 ","1206","16","0","0","4/30/2021 12:00:00 AM","2019","10941","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Passaic County","New Jersey","Northeast","Middle Atlantic","34031","41.036655","-74.299408 ","71574","1863","104","1","4/30/2021 12:00:00 AM","2019","501826","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Hardeman County","Tennessee","South","East South Central","47069","35.218785","-88.988697 ","3505","64","0","0","4/30/2021 12:00:00 AM","2019","25050","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Pushmataha County","Oklahoma","South","West South Central","40127","34.377899","-95.408082 ","1012","20","0","0","4/30/2021 12:00:00 AM","2019","11096","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Sullivan County","New Hampshire","Northeast","New England","33019","43.361188","-72.222084 ","1665","25","10","0","4/30/2021 12:00:00 AM","2019","43146","NYTIMES-USCENSUS"
