"collection_date","location","iso_code","total_vaccinations","total_vaccinations_per_hundred","daily_vaccinations_raw","daily_vaccinations","daily_vaccinations_per_million","people_vaccinated","people_fully_vaccinated","people_fully_vaccinated_per_hundred","source"
"2020-12-02 00:00:00.0000000","Norway","NOR","1","0.000","","","","1","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-03 00:00:00.0000000","Norway","NOR","1","0.000","0","0","0.000","1","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-04 00:00:00.0000000","Norway","NOR","2","0.000","1","0","0.000","2","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-05 00:00:00.0000000","Norway","NOR","2","0.000","0","0","0.000","2","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-06 00:00:00.0000000","Norway","NOR","2","0.000","0","0","0.000","2","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-07 00:00:00.0000000","Norway","NOR","4","0.000","2","1","0.000","4","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-08 00:00:00.0000000","Norway","NOR","4","0.000","0","0","0.000","4","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-08 00:00:00.0000000","Lithuania","LTU","1","0.000","","","","1","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-09 00:00:00.0000000","Lithuania","LTU","","","","127","47.000","","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-09 00:00:00.0000000","Norway","NOR","5","0.000","1","1","0.000","5","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-10 00:00:00.0000000","Norway","NOR","6","0.000","1","1","0.000","6","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-10 00:00:00.0000000","Lithuania","LTU","","","","127","47.000","","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-11 00:00:00.0000000","Lithuania","LTU","","","","127","47.000","","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-11 00:00:00.0000000","Norway","NOR","6","0.000","0","1","0.000","6","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2020-12-12 00:00:00.0000000","Norway","NOR","6","0.000","0","1","0.000","6","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
