"MonitorDate","CounTYName","StateName","Region","SubRegion","FIPS","Latitude","Longitude","PeriodToDateCaseCount","PeriodToDateDeathCount","DailyCaseCount","DailyDeathCount","PreviousMonitorDate","PopulationYear","Population","Source"
"1/24/2020 12:00:00 AM","Cook County","Illinois","Midwest","East North Central","17031","41.894294","-87.645455 ","1","0","1","0","1/24/2020 12:00:00 AM","2019","5150233","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/25/2020 12:00:00 AM","Cook County","Illinois","Midwest","East North Central","17031","41.894294","-87.645455 ","1","0","0","0","1/24/2020 12:00:00 AM","2019","5150233","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/25/2020 12:00:00 AM","Orange County","California","West","Pacific","06059","33.675687","-117.777207 ","1","0","1","0","1/25/2020 12:00:00 AM","2019","3175692","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/26/2020 12:00:00 AM","Cook County","Illinois","Midwest","East North Central","17031","41.894294","-87.645455 ","1","0","0","0","1/25/2020 12:00:00 AM","2019","5150233","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/26/2020 12:00:00 AM","Los Angeles County","California","West","Pacific","06037","34.196398","-118.261862 ","1","0","1","0","1/26/2020 12:00:00 AM","2019","10039107","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/26/2020 12:00:00 AM","Maricopa County","Arizona","West","Mountain","04013","33.345176","-112.49893 ","1","0","1","0","1/26/2020 12:00:00 AM","2019","4485414","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/26/2020 12:00:00 AM","Orange County","California","West","Pacific","06059","33.675687","-117.777207 ","1","0","0","0","1/25/2020 12:00:00 AM","2019","3175692","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/27/2020 12:00:00 AM","Cook County","Illinois","Midwest","East North Central","17031","41.894294","-87.645455 ","1","0","0","0","1/26/2020 12:00:00 AM","2019","5150233","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/27/2020 12:00:00 AM","Los Angeles County","California","West","Pacific","06037","34.196398","-118.261862 ","1","0","0","0","1/26/2020 12:00:00 AM","2019","10039107","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/27/2020 12:00:00 AM","Maricopa County","Arizona","West","Mountain","04013","33.345176","-112.49893 ","1","0","0","0","1/26/2020 12:00:00 AM","2019","4485414","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/27/2020 12:00:00 AM","Orange County","California","West","Pacific","06059","33.675687","-117.777207 ","1","0","0","0","1/26/2020 12:00:00 AM","2019","3175692","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/28/2020 12:00:00 AM","Cook County","Illinois","Midwest","East North Central","17031","41.894294","-87.645455 ","1","0","0","0","1/27/2020 12:00:00 AM","2019","5150233","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/28/2020 12:00:00 AM","Los Angeles County","California","West","Pacific","06037","34.196398","-118.261862 ","1","0","0","0","1/27/2020 12:00:00 AM","2019","10039107","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/28/2020 12:00:00 AM","Maricopa County","Arizona","West","Mountain","04013","33.345176","-112.49893 ","1","0","0","0","1/27/2020 12:00:00 AM","2019","4485414","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
"1/28/2020 12:00:00 AM","Orange County","California","West","Pacific","06059","33.675687","-117.777207 ","1","0","0","0","1/27/2020 12:00:00 AM","2019","3175692","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv"
